Aislado,Punto,Genero,m_AMC,m_AMP,m_PIME,m_CAX,m_CP,m_ERT,m_GM,m_IMP,m_MER,m_PTZ,m_T
BI15,B,Acinetobacter,0,0,2,4,0.125,0,2,8,8,8,0.5
AI6,A,Acinetobacter,0,0,4,4,0.125,0,4,8,8,32,0.5
AI11,A,Acinetobacter,0,0,16,4,2,0,8,8,8,64,2
AI1,A,Escherichia,4,4,1,1,0.5,0.25,2,0.25,0.5,4,0.5
AI12,A,Acinetobacter,0,0,2,4,0.125,0,2,8,8,16,0.5
BI12,B,Acinetobacter,0,0,16,4,2,0,8,8,8,64,2
BI9,B,Acinetobacter,0,0,2,4,0.125,0,2,8,8,16,0.5
BI4,B,Enterobacter,16,16,8,4,2,2,2,8,8,64,0.5
AI10,A,Acinetobacter,0,0,16,4,0.125,0,2,8,8,64,0.5
BI3,B,Escherichia,0,16,16,4,2,0.25,2,0.25,0.5,4,2
BC3,B,Escherichia,0,16,16,4,0.5,0.25,2,0.25,0.5,4,2
BC4,B,Escherichia,0,16,16,4,1,0.25,2,0.25,0.5,4,2
BC8,B,Escherichia,0,16,16,4,0.5,2,8,0.25,8,4,2
AC6,A,Escherichia,16,0,16,4,2,0.25,8,0.25,0.5,4,2
BI5,B,Acinetobacter,0,0,2,4,0.125,0,4,8,8,16,0.5
BI10,B,Escherichia,0,16,16,4,2,0.25,8,0.25,0.5,8,2
AC8,A,Klebsiella,0,0,16,4,1,0.5,2,0.25,0.5,4,2
BC6,B,Escherichia,0,16,16,4,2,0.25,2,0.25,0.5,4,2
AC9,A,Escherichia,0,16,16,4,2,0.25,8,0.25,0.5,4,2
AC1,A,Escherichia,4,4,8,1,2,2,2,0.25,8,4,0.5
BC5,B,Enterobacter,16,16,16,4,0.5,0.25,2,0.25,0.5,4,0.5
